player_id,player_name,pos,team,n,overall_avg,overall_sd,pos_avg,pos_sd,overall_min,overall_max,pos_min,pos_max
2161,Jerick McKinnon,RB,KC,18,235.67,16.65,71.17,5.42,206,260,62,80
5284,Jeff Wilson,RB,MIA,10,236,16.61,70.8,5.47,218,260,63,80
8208,Tyler Badie,RB,DEN,23,236.35,14.24,71.22,3.66,199,263,62,79
4666,Younghoe Koo,K,ATL,21,236.43,34.58,9.48,3.39,112,264,2,16
5133,Tyler Conklin,TE,NYJ,12,237.17,12.47,32.92,3.32,217,257,28,38
4080,Zay Jones,WR,JAX,11,237.27,15.86,89.27,5.48,217,264,84,100
7565,Terrace Marshall,WR,CAR,25,237.44,14.14,88.92,4.55,208,260,79,97
8179,Snoop Conner,RB,JAX,21,237.62,15.16,71.43,5.2,206,263,61,79
6805,KJ Hamler,WR,DEN,19,238,17.52,89.26,6.17,194,262,71,98
5113,Cedrick Wilson,WR,MIA,4,238.25,16.92,89.5,5.51,218,259,83,95
8225,Daniel Bellinger,TE,NYG,19,238.42,15.78,32.89,2.64,200,258,26,37
17,Matt Prater,K,ARI,21,238.71,19.53,9.38,1.4,193,262,7,13
8205,Isiah Pacheco,RB,KC,11,239,21.05,71.45,6.02,207,264,62,82
8140,Justyn Ross,WR,KC,15,239.07,15.02,89.4,6.16,213,257,78,99
4273,Chris Carson,RB,NA,4,239.25,11.44,72.25,3.3,229,255,70,77
8121,Romeo Doubs,WR,GB,21,240,15.86,90.33,5.38,210,262,79,97
5878,N'Keal Harry,WR,NA,3,240.67,22.19,90,7.94,217,261,81,96
6011,Gardner Minshew,QB,IND,8,241,15.79,38.75,1.58,219,263,37,41
829,Andy Dalton,QB,CAR,1,241,NA,39,NA,241,241,39,39
4197,Isaiah McKenzie,WR,IND,12,241.08,14.29,91.58,4.62,218,263,84,99
7694,Tommy Tremble,TE,CAR,12,241.33,17.55,33.5,3.32,194,257,27,39
1848,James White,RB,NA,7,241.71,10.01,72.86,4.18,226,254,66,80
7083,Tyler Huntley,QB,BAL,15,241.73,14.49,38.33,0.82,225,264,37,40
1833,Damien Williams,RB,NA,8,242,10.49,73.62,2.92,227,254,69,77
2152,Teddy Bridgewater,QB,NA,1,242,NA,40,NA,242,242,40,40
928,Randall Cobb,WR,NYJ,8,242.12,11.03,92.12,3.87,224,261,87,96
5980,Myles Gaskin,RB,MIA,10,242.4,13.17,71.9,3.9,224,263,65,77
8164,Matt Corral,QB,CAR,2,242.5,24.75,38.5,2.12,225,260,37,40
5536,Dontrell Hilliard,RB,NA,12,243.08,12.08,72.5,3.37,222,257,68,78
8134,Khalil Shakir,WR,BUF,5,243.2,23.35,93,10.22,202,258,75,100
6870,Bryan Edwards,WR,NO,16,243.31,12.79,92.19,4.05,227,262,87,101
1348,Dustin Hopkins,K,LAC,10,243.4,15.64,10.1,1.97,212,259,7,13
1945,Chris Boswell,K,PIT,6,243.5,25.31,12.17,4.22,196,263,7,17
8230,Ty Chandler,RB,MIN,1,244,NA,76,NA,244,244,76,76
2431,Mike Davis,RB,NA,6,244.5,17.06,74.33,6.47,224,264,66,85
5170,Phillip Lindsay,RB,NA,4,244.5,16.74,75.25,4.92,220,257,69,81
8258,Cade York,K,CLE,3,244.67,28.36,12.33,1.15,212,263,11,13
1387,Rex Burkhead,RB,NA,8,245,15.36,73.12,7.4,226,263,63,84
4147,Samaje Perine,RB,DEN,8,245,14.97,73.75,5.23,216,263,67,81
8188,Tyquan Thornton,WR,NE,2,245,12.73,93,2.83,236,254,91,95
7716,John Bates,TE,WAS,2,245.5,20.51,36,4.24,231,260,33,39
5122,Boston Scott,RB,PHI,8,245.75,18.26,74.62,5.26,205,263,63,80
8189,Trestan Ebner,RB,CHI,1,246,NA,72,NA,246,246,72,72
5024,James Washington,WR,NO,12,246.08,12.52,91.83,4.09,225,263,85,96
8219,Jelani Woods,TE,IND,10,246.3,14.29,35.2,3.12,217,264,29,38
391,Ryan Succop,K,NA,17,246.47,14.32,10.71,2.11,211,264,7,14
8190,Abram Smith,RB,NA,12,247.5,11.87,75.17,3.74,234,264,70,81
7062,Rodrigo Blankenship,K,NA,12,247.75,13.17,10.75,3.22,214,261,6,17
5199,Byron Pringle,WR,NA,10,247.8,8.9,92.9,3.03,235,260,87,98
7496,Nick Westbrook-Ikhine,WR,TEN,13,248,13.6,93.31,4.48,228,264,85,99
