player_id,player_name,pos,team,n,overall_avg,overall_sd,pos_avg,pos_sd,overall_min,overall_max,pos_min,pos_max
8136,Rachaad White,RB,TB,25,143.92,10.08,43.2,2.69,122,159,37,48
7607,Michael Carter,RB,NYJ,25,144.28,15.61,43.32,4.6,104,179,35,54
8153,Isaiah Spiller,RB,LAC,25,144.72,11.58,43.16,3.48,121,167,37,50
3225,Tyler Boyd,WR,CIN,25,146.2,11.2,54.48,4.05,129,175,48,66
8167,Christian Watson,WR,GB,25,146.44,10.81,54.56,3.83,131,174,48,62
5947,Jakobi Meyers,WR,LV,25,146.84,23.07,54.76,8.84,83,187,27,69
5347,Nyheim Hines,RB,BUF,25,147.88,16.29,44.88,4.44,112,173,35,52
1825,Jarvis Landry,WR,NA,25,149.24,10.09,56.08,2.81,132,172,50,62
8148,Jameson Williams,WR,DET,25,149.76,18.79,56,6.74,121,198,46,75
5038,Michael Gallup,WR,DAL,25,150.28,14.15,56.32,4.82,128,186,49,66
7601,Rondale Moore,WR,ARI,25,151.52,13.99,56.6,4.52,129,181,49,65
4089,Gerald Everett,TE,LAC,25,153.08,15.81,19.28,2.65,123,203,13,27
3976,Mitch Trubisky,QB,PIT,25,154.56,17.65,31.08,1.08,119,190,29,34
4351,Tim Patrick,WR,DEN,25,154.72,12.2,57.56,4.22,129,179,47,62
5916,Darrell Henderson,RB,NA,25,154.76,9.96,46.72,3.18,134,172,40,52
4131,Kenny Golladay,WR,NA,25,155.92,15.29,58.48,4.92,110,180,42,65
4033,David Njoku,TE,CLE,25,156.12,12.53,20.16,2.19,122,181,17,26
1264,Justin Tucker,K,BAL,25,156.88,22.21,1.2,0.5,109,190,1,3
3271,Tyler Higbee,TE,LAR,25,157.2,17.79,20.4,3.24,115,192,14,26
8132,Tyler Allgeier,RB,ATL,25,158.48,14.69,47.8,4.47,137,195,40,59
4602,Robert Tonyan,TE,CHI,25,158.76,15.28,20.4,2.45,132,203,16,25
6955,James Robinson,RB,NE,25,161.6,16.29,48.56,4.76,132,192,41,56
8119,Jahan Dotson,WR,WAS,25,162.8,14.33,60.76,4.16,126,182,50,68
7567,Kenneth Gainwell,RB,PHI,25,163.52,10.77,49.52,2.8,143,192,45,55
4066,Evan Engram,TE,JAX,25,164.04,14.62,21.16,2.72,136,191,17,27
4152,Marlon Mack,RB,NA,25,166.2,12.96,50.64,4.24,143,189,43,59
2319,DeVante Parker,WR,NE,25,167.84,9.83,62.28,3.59,146,182,55,69
7608,Khalil Herbert,RB,CHI,25,168.52,10.88,51.12,3.44,153,191,47,60
5248,Gus Edwards,RB,BAL,25,170,14.25,51.56,4.2,136,193,40,57
8160,Kenny Pickett,QB,PIT,25,171.12,27.61,32,2.08,112,241,25,36
4951,DJ Chark,WR,CAR,25,171.48,15.93,63.56,5.37,139,198,50,72
8211,Tyrion Davis-Price,RB,SF,25,172.28,12.22,52.24,3.32,147,197,46,60
3664,J.D. McKissic,RB,NA,25,174.12,13.91,52.52,4.63,151,204,45,60
8117,Jalen Tolbert,WR,DAL,25,174.36,16.64,64.88,6.06,140,214,53,84
3202,Austin Hooper,TE,LV,25,175.88,16.4,24.04,2.62,151,216,20,32
4973,Hayden Hurst,TE,CAR,25,176.4,13.17,23.88,1.69,150,203,22,28
